metric,value
distance_D_m,0.495057
heading_error_phi_deg,-9.500903
robot_heading_xz_deg,-51.703256
reference_heading_xz_deg,-42.202354
delta_x_ref_minus_robot_m,-0.332555
delta_y_ref_minus_robot_m,0.021054
delta_z_ref_minus_robot_m,-0.366727
robot_x_m,-0.618021
robot_y_m,0.018200
robot_z_m,2.303381
robot_qx,0.94394101
robot_qy,0.00814644
robot_qz,0.32751928
robot_qw,-0.04049853
robot_roll_deg,-174.804643
robot_pitch_deg,-38.241512
robot_yaw_deg,-0.813320
reference_x_m,-0.950577
reference_y_m,0.039255
reference_z_m,1.936654
reference_qx,0.00000000
reference_qy,-0.36001597
reference_qz,0.00000000
reference_qw,0.93294614
reference_roll_deg,0.000000
reference_pitch_deg,-42.202354
reference_yaw_deg,0.000000
