metric,value
distance_D_m,0.428391
heading_error_phi_deg,-10.341002
robot_heading_xz_deg,-83.615451
reference_heading_xz_deg,-73.274450
delta_x_ref_minus_robot_m,-0.411529
delta_y_ref_minus_robot_m,0.017888
delta_z_ref_minus_robot_m,-0.119005
robot_x_m,-0.198614
robot_y_m,0.031030
robot_z_m,1.539884
robot_qx,0.99780959
robot_qy,-0.00682974
robot_qz,0.05534116
robot_qw,-0.03559117
robot_roll_deg,-175.858480
robot_pitch_deg,-6.312648
robot_yaw_deg,-1.012816
reference_x_m,-0.610144
reference_y_m,0.048918
reference_z_m,1.420879
reference_qx,0.00000000
reference_qy,-0.59674634
reference_qz,0.00000000
reference_qw,0.80242994
reference_roll_deg,0.000000
reference_pitch_deg,-73.274450
reference_yaw_deg,0.000000
