metric,value
distance_D_m,0.703586
heading_error_phi_deg,-27.976377
robot_heading_xz_deg,-118.869570
reference_heading_xz_deg,-90.893194
delta_x_ref_minus_robot_m,-0.703501
delta_y_ref_minus_robot_m,-0.006499
delta_z_ref_minus_robot_m,0.010968
robot_x_m,0.130391
robot_y_m,0.050603
robot_z_m,1.075939
robot_qx,0.96793667
robot_qy,-0.01668184
robot_qz,-0.24943982
robot_qw,-0.02449680
robot_roll_deg,-177.439496
robot_pitch_deg,28.927414
robot_yaw_deg,-1.314161
reference_x_m,-0.573109
reference_y_m,0.044104
reference_z_m,1.086907
reference_qx,0.00000000
reference_qy,-0.71259685
reference_qz,0.00000000
reference_qw,0.70157375
reference_roll_deg,180.000000
reference_pitch_deg,-89.106806
reference_yaw_deg,180.000000
