metric,value
distance_D_m,0.351644
heading_error_phi_deg,-27.868269
robot_heading_xz_deg,-118.855199
reference_heading_xz_deg,-90.986930
delta_x_ref_minus_robot_m,-0.351592
delta_y_ref_minus_robot_m,-0.003094
delta_z_ref_minus_robot_m,0.006057
robot_x_m,0.065171
robot_y_m,0.025298
robot_z_m,0.538435
robot_qx,0.96796771
robot_qy,-0.01668628
robot_qz,-0.24931860
robot_qw,-0.02450126
robot_roll_deg,-177.439065
robot_pitch_deg,28.913090
robot_yaw_deg,-1.314853
reference_x_m,-0.286421
reference_y_m,0.022204
reference_z_m,0.544491
reference_qx,0.00000000
reference_qy,-0.71317050
reference_qz,0.00000000
reference_qw,0.70099061
reference_roll_deg,180.000000
reference_pitch_deg,-89.013070
reference_yaw_deg,180.000000
