metric,value
distance_D_m,0.356688
heading_error_phi_deg,-1.628431
robot_heading_xz_deg,178.065885
reference_heading_xz_deg,179.694316
delta_x_ref_minus_robot_m,0.001903
delta_y_ref_minus_robot_m,0.017098
delta_z_ref_minus_robot_m,0.356683
robot_x_m,-0.955589
robot_y_m,0.027151
robot_z_m,0.236687
robot_qx,0.69472345
robot_qy,-0.02283667
robot_qz,-0.71850632
robot_qw,-0.02421731
robot_roll_deg,-1.415423
robot_pitch_deg,88.069574
robot_yaw_deg,174.770620
reference_x_m,-0.953686
reference_y_m,0.044249
reference_z_m,0.593370
reference_qx,0.00000000
reference_qy,0.99999644
reference_qz,0.00000000
reference_qw,0.00266759
reference_roll_deg,180.000000
reference_pitch_deg,0.305684
reference_yaw_deg,180.000000
