metric,value
distance_D_m,0.299796
heading_error_phi_deg,-31.381342
robot_heading_xz_deg,7.510868
reference_heading_xz_deg,38.892209
delta_x_ref_minus_robot_m,0.188229
delta_y_ref_minus_robot_m,0.011286
delta_z_ref_minus_robot_m,-0.233339
robot_x_m,-1.663989
robot_y_m,0.025042
robot_z_m,2.137958
robot_qx,0.65907689
robot_qy,0.02041799
robot_qz,0.75123214
robot_qw,-0.02917256
robot_roll_deg,-3.412846
robot_pitch_deg,-82.493816
robot_yaw_deg,-172.559442
reference_x_m,-1.475760
reference_y_m,0.036328
reference_z_m,1.904619
reference_qx,0.00000000
reference_qy,0.33292002
reference_qz,0.00000000
reference_qw,0.94295507
reference_roll_deg,0.000000
reference_pitch_deg,38.892209
reference_yaw_deg,0.000000
