metric,value
distance_D_m,0.194904
heading_error_phi_deg,169.212973
robot_heading_xz_deg,-167.328436
reference_heading_xz_deg,23.458591
delta_x_ref_minus_robot_m,-0.177056
delta_y_ref_minus_robot_m,0.007021
delta_z_ref_minus_robot_m,-0.081479
robot_x_m,-1.374139
robot_y_m,0.037489
robot_z_m,1.219944
robot_qx,0.78024215
robot_qy,-0.02604853
robot_qz,-0.62461022
robot_qw,-0.02014261
robot_roll_deg,179.709972
robot_pitch_deg,77.354657
robot_yaw_deg,-4.056408
reference_x_m,-1.551194
reference_y_m,0.044510
reference_z_m,1.138465
reference_qx,0.00000000
reference_qy,0.20328794
reference_qz,0.00000000
reference_qw,0.97911900
reference_roll_deg,0.000000
reference_pitch_deg,23.458591
reference_yaw_deg,0.000000
