metric,value
distance_D_m,0.547836
heading_error_phi_deg,-43.529463
robot_heading_xz_deg,135.514513
reference_heading_xz_deg,179.043975
delta_x_ref_minus_robot_m,0.009141
delta_y_ref_minus_robot_m,-0.050875
delta_z_ref_minus_robot_m,0.547760
robot_x_m,-1.380622
robot_y_m,0.074385
robot_z_m,0.050374
robot_qx,0.38668901
robot_qy,-0.02488978
robot_qz,-0.92181379
robot_qw,-0.01055664
robot_roll_deg,3.086004
robot_pitch_deg,45.515173
robot_yaw_deg,179.982559
reference_x_m,-1.371482
reference_y_m,0.023510
reference_z_m,0.598133
reference_qx,0.00000000
reference_qy,0.99996520
reference_qz,0.00000000
reference_qw,0.00834279
reference_roll_deg,180.000000
reference_pitch_deg,0.956025
reference_yaw_deg,180.000000
